Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
demoQA_testSuite,Chrome 99.0.4844.82,,,2022-03-29 14:13:28,2022-03-29 14:15:04,1m - 35.999s,FAILED
,,,,,,,
Test Cases/demoQA,Chrome 99.0.4844.82,,,2022-03-29 14:13:29,2022-03-29 14:13:49,20.409s,FAILED
testing.pratice_Form.access(),Chrome 99.0.4844.82,,,2022-03-29 14:13:29,2022-03-29 14:13:42,12.431s,PASSED
testing.pratice_Form.click_Form(),Chrome 99.0.4844.82,,,2022-03-29 14:13:42,2022-03-29 14:13:45,3.789s,PASSED
"testing.pratice_Form.enterValue(firstName, lastName, email, gender, mobile, year_DOB, month_DOB, subject, hobbies, upload, address, state, city, screenshot)",Chrome 99.0.4844.82,,,2022-03-29 14:13:45,2022-03-29 14:13:49,3.752s,FAILED
,,,,,,,
Test Cases/demoQA,Chrome 99.0.4844.82,,,2022-03-29 14:13:49,2022-03-29 14:14:58,1m - 8.899s,PASSED
testing.pratice_Form.access(),Chrome 99.0.4844.82,,,2022-03-29 14:13:49,2022-03-29 14:14:06,16.778s,PASSED
testing.pratice_Form.click_Form(),Chrome 99.0.4844.82,,,2022-03-29 14:14:06,2022-03-29 14:14:10,4.267s,PASSED
"testing.pratice_Form.enterValue(firstName, lastName, email, gender, mobile, year_DOB, month_DOB, subject, hobbies, upload, address, state, city, screenshot)",Chrome 99.0.4844.82,,,2022-03-29 14:14:10,2022-03-29 14:14:56,45.927s,PASSED
testing.pratice_Form.end(expected_result),Chrome 99.0.4844.82,,,2022-03-29 14:14:56,2022-03-29 14:14:58,1.916s,PASSED
,,,,,,,
Test Cases/demoQA,Chrome 99.0.4844.82,,,2022-03-29 14:14:58,2022-03-29 14:15:04,5.940s,FAILED
testing.pratice_Form.access(),Chrome 99.0.4844.82,,,2022-03-29 14:14:58,2022-03-29 14:15:02,3.919s,PASSED
testing.pratice_Form.click_Form(),Chrome 99.0.4844.82,,,2022-03-29 14:15:02,2022-03-29 14:15:04,2.013s,FAILED
